ID,race,age,gender
R_22nRYEujlWT9Pmo,White,25,Male
R_02u0SZreDMQAogN,white,38,male
R_OjKFpUJOTnZinZf,caucasian,34,male
R_3dWjZHqZaZfeOzN,chinese,22,male
R_3n1wwlQnGMAF7Jw,white,31,male
R_1Ks4Pg4PDLg1JXe,white,27,male
R_8emOyv7ofyhleG5,Black,31,Female
R_3M5TuBiNvJHPqky,White,42,Female
R_1FFcrtHNRQSrS7a,White,33,Male
R_3KwKHyaOaSOYLtm,caucasian,40,female
R_BEO10z0BcnJ2u65,White,40,Female
R_VX7IZ3KSaCexJct,white,41,male
R_31AYB8fCiIqg7CB,white,23,male
R_2VjPUrf41Ej2Zhr,white,32,male
R_9uEzb7J9K8shL5D,white,24,female
R_1GIhuWkGDcrG7QF,white,36,female
R_2xEpfjvdADs5Tpp,white,29,Female
R_vHqWB2Dnqub251v,Caucasian,33,Male
R_3MMrj3IrL8KKgNH,Asian,27,Male
R_3FPuyvDbOcZfeTi,white,42,male
R_1jTBsoLeyubgSQ4,white,26,m
R_1gFRS40lbuuWVp3,white,33,male
R_3qJqYT65q2jLVo6,caucasian,33,female
R_3MurXkiLLrj3HXr,White,36,Female
R_yJeMwjJGCJnmamR,AFRICAN AMERICAN,22,MALE
R_2S5XOi9MXNDuIDq,White,33,Male
R_8fgBWH5fb07ZtkZ,White,25,Male
R_szY4HfLNAsz5Xup,white,24,female
R_tGIqfvJqm7fzJSh,Caucasian,22,Male
R_290xoyd1FVb44N4,white,42,male
R_1otjG2QZTm8vEqd,good.,30,male
R_1Cga1wV9QlAoOQw,black,27,female
R_3LcMeb3z68AGyPu,White,33,Male
R_2dA3qLnfqljCiOI,white,60,female
R_2SrE3J6GvdlZWqb,White,25,Female
R_XRNBMwSJ2wfvEYN,Caucasian,19,male
R_3GwxeemGfYD6UFT,whte,26,m
R_3pbSosWUd1kACM5,caucasian,33,male
R_1ocLZ6Eu9y2mjYw,Asian,26,Male
R_2uCAu2xiakc5kyJ,white american,24,male
R_3OkR5NBShp7xXKe,black,32,female
R_11gAbOvsWwndQU8,white,59,female
R_BudfRKkrnq10dgJ,white,31,female
R_3FX33doLLBdAaAj,Caucasian,34,Female
R_10YP6jo1K4w9prl,White,33,Male
R_1mwMhDNPDCDXcTk,White,35,Female
R_2pSsX4u7GROvLj2,White Caucasian,35,Female
R_Uu1hnwgrsTgbVh7,caucasian,22,female
R_2WwlqLrzbhnXrgd,White,25,Female
R_3LYIswck8MGZacN,white,39,male
R_sUzPSDByt7mrRHH,white,25,female
R_26btpvtB3bslscc,White,24,Male
R_3D5QAYd1AeaP487,white,34,female
R_2b2EOE6TSPVkaKk,white,27,male
R_2YE7GWVp9ZiU39S,latino,22,male
R_qJH1uzBfFSFTsJz,white,63,male
R_cuymMr5qqK9vZRL,Hispanic,28,male
R_3G9bHZ1cA1BwKpI,white,50,female
R_eEcIjMrCkukVfup,white,39,female
R_3MQcwfJMgx7lZGV,black,34,female
R_AjlQ1gaBPOtTlVn,white,31,female
R_2PaQvXE2kxW3HEI,Hispanic,22,male
R_3MarY2mSEAejpVw,Caucasian,53,Male
R_12irmvdmu2A4xur,white,53,male
R_3jeTztyK8A7sjVx,caucasian,36,male
R_oYwVokbvaieSJvH,whiye,28,male
R_3dYBC9jerulQSwk,white,43,male
R_eWKPpFBlHnYDcOt,white,23,man
R_pLhlK0u7SWNC66B,white,52,male
